Longitude,Latitude,geometry
-116.24105563579052,38.847862257413176,POINT (-116.24105563579052 38.847862257413176)
-117.28681416128616,36.10615056654887,POINT (-117.28681416128616 36.10615056654887)
-121.7171834366143,36.474571489174714,POINT (-121.7171834366143 36.474571489174714)
-116.53951940961709,40.458863960691744,POINT (-116.53951940961709 40.458863960691744)
-114.13242566584334,34.803322674701626,POINT (-114.13242566584334 34.803322674701626)
-123.71598223717804,40.220733123888316,POINT (-123.71598223717804 40.220733123888316)
-123.48217418511497,41.9802303850046,POINT (-123.48217418511497 41.9802303850046)
-116.08330328148014,33.02008845068003,POINT (-116.08330328148014 33.02008845068003)
-123.69308131445358,33.27410896317024,POINT (-123.69308131445358 33.27410896317024)
-114.93250492362905,37.76745258993756,POINT (-114.93250492362905 37.76745258993756)
-116.87243124385756,32.60389981093832,POINT (-116.87243124385756 32.60389981093832)
-123.88782048300898,35.154152931669685,POINT (-123.88782048300898 35.154152931669685)
-123.29723585928936,37.39649993371884,POINT (-123.29723585928936 37.39649993371884)
-121.47043817245391,33.78706594316726,POINT (-121.47043817245391 33.78706594316726)
-114.13857342499541,32.84688868237165,POINT (-114.13857342499541 32.84688868237165)
-123.25107853264302,40.025317492696644,POINT (-123.25107853264302 40.025317492696644)
-123.5276204802586,34.42086832036827,POINT (-123.5276204802586 34.42086832036827)
-120.94202490467981,37.496715813529995,POINT (-120.94202490467981 37.496715813529995)
-114.96239787869737,34.950105288412985,POINT (-114.96239787869737 34.950105288412985)
-115.37600382282913,36.502310967190866,POINT (-115.37600382282913 36.502310967190866)
-119.68455464435709,36.751291720000744,POINT (-119.68455464435709 36.751291720000744)
-114.42536452865089,38.60387937454961,POINT (-114.42536452865089 38.60387937454961)
-121.05094919460483,40.027388829344744,POINT (-121.05094919460483 40.027388829344744)
-116.93963679317696,40.114624483261565,POINT (-116.93963679317696 40.114624483261565)
-115.4400528518029,35.96222537774142,POINT (-115.4400528518029 35.96222537774142)
-115.54753209208789,38.33318203897689,POINT (-115.54753209208789 38.33318203897689)
-117.8399052396857,36.10833511776598,POINT (-117.8399052396857 36.10833511776598)
-116.17269973682318,40.3128238477837,POINT (-116.17269973682318 40.3128238477837)
-123.77155606982025,35.730706013842116,POINT (-123.77155606982025 35.730706013842116)
-119.57717963686393,41.955310716441474,POINT (-119.57717963686393 41.955310716441474)
-123.09957895319958,39.36206140863301,POINT (-123.09957895319958 39.36206140863301)
-122.75163929063778,39.50248304836609,POINT (-122.75163929063778 39.50248304836609)
-115.55931937162512,41.222186759638774,POINT (-115.55931937162512 41.222186759638774)
-115.83507828355081,37.45698312964454,POINT (-115.83507828355081 37.45698312964454)
-120.49014349900915,33.26385068941409,POINT (-120.49014349900915 33.26385068941409)
-120.50116106788322,36.25114926992167,POINT (-120.50116106788322 36.25114926992167)
-114.1851251318426,36.42944915933388,POINT (-114.1851251318426 36.42944915933388)
-122.47555583082465,41.5815696241511,POINT (-122.47555583082465 41.5815696241511)
-122.5895633525226,38.36516050344817,POINT (-122.5895633525226 38.36516050344817)
-115.76769894751172,37.963170967970676,POINT (-115.76769894751172 37.963170967970676)
-119.13453219325298,40.50084175287284,POINT (-119.13453219325298 40.50084175287284)
-116.48285084655151,38.18127378715815,POINT (-116.48285084655151 38.18127378715815)
-119.40138389447493,37.28315160963035,POINT (-119.40138389447493 37.28315160963035)
-116.42690428463837,37.90182061354021,POINT (-116.42690428463837 37.90182061354021)
-116.59469160716516,38.179254597204405,POINT (-116.59469160716516 38.179254597204405)
-114.78267388799694,37.18591638037681,POINT (-114.78267388799694 37.18591638037681)
-116.70489915871377,32.66410467289684,POINT (-116.70489915871377 32.66410467289684)
-123.03244627876455,35.589763837891354,POINT (-123.03244627876455 35.589763837891354)
